exchange,symbol,isin,series,date,close,prev_close,volume,value,trades,sma20,sma50,sma200,avg_vol20,volume_ratio20,high20,high50,high60,low20,low50,low60,high252,low252,dist_52w_high_pct,dist_52w_low_pct,roc20_pct,roc50_pct,rsi14,atr14_pct,range_pct,close_vs_sma20_pct,close_vs_sma50_pct,close_vs_sma200_pct,sma20_slope20_pct,sma50_slope20_pct
BSE,WALLFORT,INE121B01014,X,2026-09-21,82.89,82.78,96,7881,16,83.303,81.6734,,811.7,0.1183,99.9,99.9,99.9,75.15,72.3,72.3,99.9,70,-17.027,18.4143,-6.6028,6.1875,51.7226,5.6883,6.0997,-0.4958,1.4896,,3.5051,2.031
BSE,WANBURY,INE107F01022,B,2026-09-21,227.9,223.15,11434,2591399,383,244.9925,274.499,,12456,0.918,270.7,360,360,218.85,218.85,218.85,360,218.85,-36.6944,4.1353,-14.0324,-23.2918,24.7664,4.0745,5.0477,-6.9767,-16.976,,-10.8948,-4.5503
NSE,WANBURY,INE107F01022,EQ,2026-09-21,227.55,222.75,165372,37554430.7,5212,244.57,274.271,,111026.1,1.4895,271,358.85,358.85,219,219,219,358.85,219,-36.5891,3.9041,-14.0834,-23.6025,25.0704,4.2785,5.3121,-6.9592,-17.0346,,-10.991,-4.609
BSE,WARDINMOBI,INE945P01024,B,2026-09-21,5.65,5.76,85872,487295,326,5.808,6.336,,168239.85,0.5104,6.24,7.25,7.79,5.13,5.13,5.13,7.79,5.13,-27.4711,10.1365,-8.5761,-20.1977,36.7347,4.6271,3.7433,-2.7204,-10.827,,-12.0333,-6.3304
NSE,WARDINMOBI,INE945P01024,EQ,2026-09-21,5.61,5.72,282494,1599371.63,680,5.7965,,,303533.85,0.9307,6.99,,,4.69,,,6.99,4.69,-19.7425,19.6162,-9.2233,,36,5.7805,3.3929,-3.2175,,,,
BSE,WARDWIZFBL,INE761D01021,X,2026-09-21,9.23,9.39,207515,1909851,200,9.5555,9.6414,,264170.65,0.7855,11,11.22,11.22,8.82,8.82,8.82,12.53,8.82,-26.3368,4.6485,1.4286,-3.148,23.3216,6.4696,5.7395,-3.4064,-4.267,,-2.8073,-0.2896
BSE,WARRENTEA,INE712A01012,X,2026-09-21,45.5,46.5,58,2658,7,46.1305,47.3254,,2143.45,0.0271,49,50.5,53.4,44.5,44.5,43.36,53.4,42.06,-14.794,8.1788,-5.4447,-2.7778,44.4595,3.6688,2.0879,-1.3668,-3.8571,,-4.1424,-0.1064
BSE,WATERBASE,INE054C01015,B,2026-09-21,44.79,45.86,9735,440861,193,47.757,45.931,,6948.95,1.4009,53.87,53.87,53.87,44.51,41.55,41.55,53.87,41.55,-16.8554,7.7978,-14.5881,-0.5551,30.0851,4.2293,5.5942,-6.2127,-2.4842,,6.2483,2.6657
NSE,WATERBASE,INE054C01015,EQ,2026-09-21,44.99,45.96,37593,1718191.7,400,47.7615,,,21204.45,1.7729,54,,,44.49,,,54,44.11,-16.6852,1.995,-14.1248,,28.4188,4.4518,5.6417,-5.8028,,,,
BSE,WCIL,INE0CJF01024,B,2026-09-21,96.18,96.64,11454,1105906,284,87.2255,88.92,,7270.7,1.5754,100.37,100.37,102.71,81.59,81.59,81.59,106,81.59,-9.2642,17.8821,11.2679,1.6702,78.9398,3.7645,3.1247,10.2659,8.1646,,-1.3755,-5.1722
NSE,WCIL,INE0CJF01024,EQ,2026-09-21,95.59,96.86,244766,23648605.48,2619,87.1885,88.8796,,167856.25,1.4582,99.99,99.99,102.24,81.76,81.76,81.76,105.9,81.76,-9.7356,16.9154,10.2537,0.8759,77.0814,3.6906,3.124,9.636,7.55,,-1.3699,-5.1977
BSE,WEALTH,INE658T01017,B,2026-09-21,825,836.3,61,50754,9,843.0875,903.671,,58.15,1.049,935,1049.9,1050,721,721,721,1050,721,-21.4286,14.4244,-2.9412,-14.1206,49.8015,4.487,3.0688,-2.1454,-8.7057,,-9.343,
NSE,WEALTH,INE658T01017,EQ,2026-09-21,822.55,841.55,1198,1000203.85,168,844.8725,895.476,,1490.65,0.8037,879,996.25,1019.95,810.2,810.2,810.2,1019.95,810.2,-19.3539,1.5243,-5.1105,-16.4627,36.6013,3.0897,5.4837,-2.6421,-8.1438,,-7.8606,-5.6508
BSE,WEBELSOLAR,INE855C01023,A,2026-09-21,72.05,72.92,120515,8680289,1125,75.616,86.8756,,234786.5,0.5133,84,106.35,110.65,71.05,71.05,71.05,115.4,71.05,-37.565,1.4075,-12.9726,-27.95,39.5359,4.3868,4.2036,-4.7159,-17.0653,,-17.2719,-11.1758
NSE,WEBELSOLAR,INE855C01023,EQ,2026-09-21,72.03,72.94,1266424,91230262.24,10428,75.6015,86.8744,,2096011.9,0.6042,83.99,106.4,110.4,71.02,71.02,71.02,115.43,71.02,-37.5985,1.4221,-13.0072,-27.8618,40.2375,4.5576,3.7662,-4.7241,-17.0872,,-17.2832,-11.1815
BSE,WEIZMANIND,INE080A01014,B,2026-09-18,70.46,72.83,12,845,2,75.225,78.4386,,99.5,0.1206,84,91.9,,70,68.79,,91.9,68.79,-23.3297,2.4277,-11.1363,-15.2106,41.1222,4.5314,0,-6.3343,-10.1718,,-4.2391,
NSE,WEIZMANIND,INE080A01014,EQ,2026-09-21,71.76,71.48,1520,109772.61,34,73.415,76.1096,,1097.2,1.3853,77.9,84.99,88.5,69.1,69.1,69.1,94,69.1,-23.6596,3.8495,-6.1961,-9.8379,44.2373,3.7795,4.2254,-2.2543,-5.7149,,-5.3113,-4.9832
BSE,WEL,INE02WG01024,B,2026-09-21,76.78,73.13,89921,6847773,574,88.664,107.6856,,372395.65,0.2415,179,179,179,67.94,67.94,67.94,179,67.94,-57.1061,13.0115,-45.5847,-24.7255,35.3639,5.8981,5.0917,-13.4034,-28.6998,,-31.5138,-3.553
NSE,WEL,INE02WG01024,EQ,2026-09-21,76.58,72.94,430400,32772283.37,2047,88.553,107.6208,,8905396.4,0.0483,179.2,179.2,179.2,68.01,68.01,68.01,179.2,68.01,-57.2656,12.6011,-45.7917,-25.3679,35.1035,5.8585,3.1103,-13.5207,-28.8428,,-31.5863,-3.6005
BSE,WELCORP,INE191B01025,A,2026-09-21,2762.1,2657.7,157775,429766485,11513,2525.975,2067.282,,164587.75,0.9586,2791.1,2791.1,2791.1,2204.7,1571,1409,2791.1,1321.05,-1.039,109.0837,19.7581,71.8953,64.7038,5.3741,4.6139,9.3479,33.6102,,38.2859,25.8069
NSE,WELCORP,INE191B01025,EQ,2026-09-21,2762.7,2660.1,2544698,6936108206.2,149011,2526.08,2067.638,,2815663.3,0.9038,2797.6,2797.6,2797.6,2203.7,1566.2,1408.5,2797.6,1320,-1.2475,109.2955,19.4991,71.3196,64.7371,5.4279,4.9284,9.3671,33.6162,,38.2441,25.7843
BSE,WELCURE,INE331C01025,X,2026-09-21,0.23,0.21,10799528,2362285,590,0.2235,0.2342,,6530348.75,1.6537,0.25,0.27,0.28,0.19,0.19,0.19,0.29,0.19,-20.6897,21.0526,4.5455,-8,44.4444,7.1429,9.5238,2.9083,-1.7933,,-5.4968,-6.4696
BSE,WELENT,INE625G01013,A,2026-09-21,785.2,825.8,752794,585829226,2266,745.3675,655.766,,71011.9,10.601,840.85,840.85,840.85,623,557.2,557.2,840.85,517.95,-6.6183,51.5976,24.398,27.9453,63.5869,5.4531,8.8197,5.344,19.7378,,27.2213,10.8769
