exchange,symbol,isin,series,date,close,prev_close,volume,value,trades,sma20,sma50,sma200,avg_vol20,volume_ratio20,high20,high50,high60,low20,low50,low60,high252,low252,dist_52w_high_pct,dist_52w_low_pct,roc20_pct,roc50_pct,rsi14,atr14_pct,range_pct,close_vs_sma20_pct,close_vs_sma50_pct,close_vs_sma200_pct,sma20_slope20_pct,sma50_slope20_pct
BSE,CAPLIPOINT,INE475E01026,A,2026-09-17,2595.45,2583.7,5419,14122105,596,2642.1725,2599.585,,20310.3,0.2668,2874,2874,2874,2455,2381,2381,2874,1960.6,-9.6921,32.3804,0.951,2.7006,53.379,4.5503,2.0479,-1.7683,-0.1591,,3.6501,2.5683
NSE,CAPLIPOINT,INE475E01026,EQ,2026-09-17,2596.6,2583,68353,177847989.3,10520,2642.26,2599.888,,260794.3,0.2621,2877.3,2877.3,2877.3,2459.8,2382.5,2382.5,2877.3,1950,-9.7557,33.159,0.9957,2.6974,53.482,4.5062,1.9579,-1.7281,-0.1265,,3.6219,2.5719
BSE,CAPPIPES,INE513R01026,B,2026-09-17,8.05,7.98,79627,639977,394,8.6005,8.9556,,69172.4,1.1511,9.85,9.9,10.19,7.22,7.22,7.22,10.6,7.22,-24.0566,11.4958,-10.1562,-13.4409,27.3632,7.2848,7.4264,-6.4008,-10.1121,,-5.6911,-5.3739
BSE,CAPRICORN,INE968E01012,XT,2026-09-17,30.79,31.41,401345,12357412,94,26.699,21.4284,,527184.3,0.7613,31.41,31.41,31.41,22.08,14.31,12.79,31.41,11.57,-1.9739,166.1193,42.2171,77.6688,91.9271,1.7817,0,15.3227,43.6878,,42.7601,
BSE,CAPRIHANS,INE479A01018,XT,2026-09-17,121,118.75,1789,215620,17,118.597,97.2822,,4363.25,0.41,136.4,138.85,138.85,106,68.8,68.8,138.85,68.8,-12.8556,75.8721,-9.7015,59.736,55.9244,4.3577,1.0008,2.0262,24.3804,,35.9675,20.3469
BSE,CAPRO,INE470N01010,X,2026-09-17,46.63,46.63,64,2984,3,45.7405,47.0606,,766.2,0.0835,53.3,53.3,,37.1,37.1,,53.3,37.1,-12.5141,25.6873,2.5963,0.1719,56.6683,4.2661,0,1.9447,-0.915,,-5.9843,
BSE,CAPTRUST,INE707C01018,T,2026-09-17,18.49,17.61,19384,353435,27,19.427,17.8722,,9236.6,2.0986,20.98,21.8,21.8,17.24,12.18,12.18,21.8,12.18,-15.1835,51.8062,-11.0202,47.3307,36.8821,4.8057,7.2506,-4.8232,3.4568,,4.0407,16.983
NSE,CAPTRUST,INE707C01018,BE,2026-09-17,18.48,17.6,32497,593833.21,64,19.349,17.8896,,23977.3,1.3553,20.7,21.9,21.9,17.5,12,12,21.9,12,-15.6164,54,-9.8097,47.3684,35,4.7194,5.6,-4.4912,3.3002,,3.407,16.9576
BSE,CARBORUNIV,INE120A01034,A,2026-09-17,1083.65,1050.85,7881,8456210,793,1099.165,1094.788,,16148.3,0.488,1206,1206,1217.1,1017.3,1017.3,1017.3,1306.4,991.1,-17.0507,9.3381,-0.129,0.2962,46.696,3.8231,4.5751,-1.4115,-1.0174,,0.0653,-1.1753
NSE,CARBORUNIV,INE120A01034,EQ,2026-09-17,1083.6,1051.6,226913,244546193.6,26234,1098.78,1094.634,,199109.65,1.1396,1207,1207,1215,1018.1,1018.1,1018.1,1306.9,993.2,-17.0862,9.1019,-0.3311,0.2869,46.3515,3.8773,4.7651,-1.3815,-1.008,,0.0314,-1.1972
BSE,CARERATING,INE752H01013,A,2026-09-17,1643,1649.55,1005,1657410,154,1680.9775,1690.24,,19067.85,0.0527,1807.9,1807.9,1807.9,1591.9,1591.9,1591.9,1807.9,1585.1,-9.1211,3.6528,-3.6759,2.3293,51.7425,3.0463,2.0578,-2.2593,-2.7949,,-1.8283,0.5634
NSE,CARERATING,INE752H01013,EQ,2026-09-17,1643.7,1652.5,22029,36428607.2,3844,1680.435,1690.288,,65739.85,0.3351,1809,1809,1809,1590.2,1590.2,1590.2,1809,1571.2,-9.1376,4.6143,-3.6913,2.0868,51.5078,3.4217,2.3776,-2.186,-2.7562,,-1.8905,0.5479
BSE,CARGOTRANS,INE0M4L01013,M,2026-09-17,73,71.65,4500,325237,5,77.2385,,,3000,1.5,88.4,,,64.94,,,129,64.94,-43.4109,12.4115,-9.0909,,40.5719,4.1546,1.8842,-5.4875,,,-21.7652,
